label,text
spam,Congratulations! You have won a cash prize. Claim now. Ref3162
ham,Thank you for your email. I will review it. Ref1783
ham,Reminder: team meeting at 3 PM today. Ref1319
ham,Please find the project update attached. Ref3542
ham,Reminder: team meeting at 3 PM today. Ref3215
spam,Earn money fast from home. Click here now. Ref4964
spam,Limited time offer! Get free rewards today. Ref3279
ham,Thank you for your email. I will review it. Ref2552
spam,Congratulations! You have won a cash prize. Claim now. Ref3938
spam,Urgent: Verify your account and win a bonus. Ref4612
spam,Urgent: Verify your account and win a bonus. Ref134
spam,Congratulations! You have won a cash prize. Claim now. Ref1211
spam,Congratulations! You have won a cash prize. Claim now. Ref4838
spam,You have been selected for an exclusive gift card. Ref4615
spam,Limited time offer! Get free rewards today. Ref2850
ham,Please find the project update attached. Ref4247
spam,Limited time offer! Get free rewards today. Ref4425
ham,Reminder: team meeting at 3 PM today. Ref4255
spam,You have been selected for an exclusive gift card. Ref1827
spam,Earn money fast from home. Click here now. Ref285
spam,Earn money fast from home. Click here now. Ref4216
ham,Let's discuss the requirements in today's call. Ref510
spam,Earn money fast from home. Click here now. Ref2889
ham,Let's discuss the requirements in today's call. Ref2656
ham,Reminder: team meeting at 3 PM today. Ref1647
ham,Please find the project update attached. Ref1818
ham,"Hi, can we schedule a meeting for tomorrow? Ref4406"
spam,Limited time offer! Get free rewards today. Ref1568
spam,Limited time offer! Get free rewards today. Ref787
ham,Please find the project update attached. Ref1555
ham,Please find the project update attached. Ref2510
ham,Let's discuss the requirements in today's call. Ref1271
spam,Limited time offer! Get free rewards today. Ref1916
ham,Reminder: team meeting at 3 PM today. Ref2413
ham,"Hi, can we schedule a meeting for tomorrow? Ref1979"
ham,Reminder: team meeting at 3 PM today. Ref2039
ham,Please find the project update attached. Ref3847
ham,Please find the project update attached. Ref4098
ham,Thank you for your email. I will review it. Ref4407
ham,Let's discuss the requirements in today's call. Ref3344
spam,Earn money fast from home. Click here now. Ref2754
ham,"Hi, can we schedule a meeting for tomorrow? Ref2920"
ham,Let's discuss the requirements in today's call. Ref1117
spam,Earn money fast from home. Click here now. Ref1282
ham,Thank you for your email. I will review it. Ref3922
spam,Limited time offer! Get free rewards today. Ref3273
spam,Earn money fast from home. Click here now. Ref4457
ham,"Hi, can we schedule a meeting for tomorrow? Ref4431"
ham,Let's discuss the requirements in today's call. Ref1829
ham,Please find the project update attached. Ref3589
spam,Limited time offer! Get free rewards today. Ref2772
ham,Reminder: team meeting at 3 PM today. Ref1748
ham,"Hi, can we schedule a meeting for tomorrow? Ref2993"
ham,Please find the project update attached. Ref1732
spam,Urgent: Verify your account and win a bonus. Ref988
spam,Limited time offer! Get free rewards today. Ref2255
spam,Earn money fast from home. Click here now. Ref2242
ham,"Hi, can we schedule a meeting for tomorrow? Ref4265"
spam,You have been selected for an exclusive gift card. Ref506
spam,Limited time offer! Get free rewards today. Ref4379
ham,Reminder: team meeting at 3 PM today. Ref1549
spam,Earn money fast from home. Click here now. Ref1853
spam,Congratulations! You have won a cash prize. Claim now. Ref4694
